preferred	ensembl	entrez
SLCO4C1	ENSG00000173930	353189
LINC02219	ENSG00000253787	102467655
CDC25C	ENSG00000158402	995
AC137630.1	ENSG00000223343	ENSG00000223343
AC034229.1	ENSG00000249807	ENSG00000249807
IGHJ4	ENSG00000240041	ENSG00000240041
ENSG00000203346	ENSG00000203346	ENSG00000203346
TMEM253	ENSG00000232070	643382
IGHV3OR16-6	ENSG00000270864	ENSG00000270864
AC112484.1	ENSG00000187695	ENSG00000187695
ENSG00000252000	ENSG00000252000	ENSG00000252000
AL133230.1	ENSG00000232043	ENSG00000232043
RPL7AP15	ENSG00000236806	ENSG00000236806
RNA5SP219	ENSG00000212242	ENSG00000212242
PRR34	ENSG00000182257	55267
IGHV3OR15-7	ENSG00000259490	ENSG00000259490
AC011933.3	ENSG00000265342	ENSG00000265342
AC104984.2	ENSG00000265394	ENSG00000265394
AC097484.2	ENSG00000251285	ENSG00000251285
AC034238.2	ENSG00000248029	ENSG00000248029
AC093334.1	ENSG00000259437	ENSG00000259437
AC079781.1	ENSG00000231859	ENSG00000231859
AC135983.5	ENSG00000270789	ENSG00000270789
C2orf27B	ENSG00000186825	ENSG00000186825
LOC102724197	ENSG00000133475	102724197
GGT2	ENSG00000133475	728441
CCBE1	ENSG00000183287	147372
AL365366.1	ENSG00000229022	ENSG00000229022
ALS2CL	ENSG00000178038	259173
NPIPB7	ENSG00000233232	ENSG00000233232
AC010531.5	ENSG00000269901	ENSG00000269901
RPL12P11	ENSG00000232493	ENSG00000232493
AL157791.2	ENSG00000271424	ENSG00000271424
ENSG00000231486	ENSG00000231486	ENSG00000231486
CYP17A1	ENSG00000148795	1586
LY86-AS1	ENSG00000216863	285780
DEFA1B	ENSG00000240247	728358
CAVIN1	ENSG00000177469	284119
NRADDP	ENSG00000236409	ENSG00000236409
RN7SL482P	ENSG00000241587	ENSG00000241587
CD83	ENSG00000112149	9308
LINC01890	ENSG00000228329	105374791
RPL35AP35	ENSG00000239256	ENSG00000239256
AC025031.2	ENSG00000258096	ENSG00000258096
OLAH	ENSG00000152463	55301
MIR5689	ENSG00000263705	100846998
AP000692.2	ENSG00000273199	ENSG00000273199
FTH1P10	ENSG00000223361	ENSG00000223361
RPL6P30	ENSG00000215313	ENSG00000215313
AL162311.1	ENSG00000257272	ENSG00000257272
ENSG00000259901	ENSG00000259901	ENSG00000259901
RPS4XP21	ENSG00000186008	ENSG00000186008
GAREM2	ENSG00000157833	150946
CIART	ENSG00000159208	148523
MIR562	ENSG00000207626	693147
AC103810.10	ENSG00000272400	ENSG00000272400
RN7SL262P	ENSG00000265033	ENSG00000265033
AL035090.1	ENSG00000225832	ENSG00000225832
ENSG00000263640	ENSG00000263640	ENSG00000263640
B3GNT5	ENSG00000176597	84002
ANKRD7	ENSG00000106013	56311
ENSG00000229702	ENSG00000229702	ENSG00000229702
TAS2R15P	ENSG00000212125	ENSG00000212125
CEBPD	ENSG00000221869	1052
TBX18-AS1	ENSG00000228290	102724201
ENSG00000264687	ENSG00000264687	ENSG00000264687
RPL5P6	ENSG00000232393	ENSG00000232393
AP000811.1	ENSG00000270510	ENSG00000270510
MS4A1	ENSG00000156738	931
ZNF101P2	ENSG00000234473	ENSG00000234473
AC027607.1	ENSG00000248936	ENSG00000248936
RPL21P5	ENSG00000258640	ENSG00000258640
BRWD1-IT1	ENSG00000237373	ENSG00000237373
MTND5P25	ENSG00000227348	ENSG00000227348
RN7SL714P	ENSG00000241757	ENSG00000241757
C1DP1	ENSG00000231245	ENSG00000231245
AC103770.1	ENSG00000254251	ENSG00000254251
ETV1	ENSG00000006468	2115
LOC101927798	ENSG00000253165	101927798
RPL7AP2	ENSG00000241984	ENSG00000241984
LOC100130849	ENSG00000233437	100130849
AL500522.1	ENSG00000225970	ENSG00000225970
ENSG00000252058	ENSG00000252058	ENSG00000252058
RPL21P127	ENSG00000243720	ENSG00000243720
SUCLG2P4	ENSG00000249226	ENSG00000249226
AL163193.1	ENSG00000237088	ENSG00000237088
AC019133.1	ENSG00000250078	ENSG00000250078
AC022730.2	ENSG00000241204	ENSG00000241204
AC009690.1	ENSG00000260729	ENSG00000260729
NRG2	ENSG00000158458	9542
SNORD127	ENSG00000239043	ENSG00000239043
LINC00328-2P	ENSG00000225016	ENSG00000225016
RN7SKP166	ENSG00000222744	ENSG00000222744
LOC105376736	ENSG00000230337	105376736
AC012435.2	ENSG00000261775	ENSG00000261775
WNT11	ENSG00000085741	7481
LOC100130449	ENSG00000218416	100130449
AC027796.2	ENSG00000262248	ENSG00000262248
AC017083.1	ENSG00000273064	ENSG00000273064
AC010306.1	ENSG00000253213	ENSG00000253213
RASA4DP	ENSG00000233297	ENSG00000233297
RN7SL266P	ENSG00000243011	ENSG00000243011
SNORA4	ENSG00000202434	ENSG00000202434
NMUR1	ENSG00000171596	10316
AP000322.1	ENSG00000272958	ENSG00000272958
AL022345.1	ENSG00000272319	ENSG00000272319
MYL6P3	ENSG00000227173	ENSG00000227173
AC107956.2	ENSG00000213779	ENSG00000213779
RPS24P18	ENSG00000243925	ENSG00000243925
AC112484.3	ENSG00000250796	ENSG00000250796
TMPRSS11BNL	ENSG00000250026	ENSG00000250026
AC016629.3	ENSG00000269600	ENSG00000269600
MIR645	ENSG00000208018	693230
ENSG00000252102	ENSG00000252102	ENSG00000252102
SYNGR4	ENSG00000105467	23546
SCUBE2	ENSG00000175356	57758
AC133919.2	ENSG00000261172	ENSG00000261172
TMIGD2	ENSG00000167664	126259
RPL7AP73	ENSG00000237952	ENSG00000237952
LINC01289	ENSG00000253734	286184
LINC01765	ENSG00000233730	ENSG00000233730
IGKV1OR2-118	ENSG00000270999	ENSG00000270999
ARGFXP2	ENSG00000265293	ENSG00000265293
VIPR1	ENSG00000114812	7433
MTND2P13	ENSG00000263914	ENSG00000263914
IGF1R	ENSG00000140443	3480
TMEM63C	ENSG00000165548	57156
ENSG00000263840	ENSG00000263840	ENSG00000263840
RAX2	ENSG00000173976	84839
LRIG3	ENSG00000139263	121227
ENSG00000238756	ENSG00000238756	ENSG00000238756
COL18A1	ENSG00000182871	80781
AL139142.1	ENSG00000238272	ENSG00000238272
CLDN20	ENSG00000171217	49861
LINC00862	ENSG00000203721	554279
SPCS2P1	ENSG00000260928	ENSG00000260928
LOC100129931	ENSG00000245748	100129931
LINC02081	ENSG00000267123	101928710
HSPD1P16	ENSG00000218792	ENSG00000218792
AC008267.3	ENSG00000234500	ENSG00000234500
SPIN3	ENSG00000204271	169981
METTL21EP	ENSG00000250878	121952
GPRC5A	ENSG00000013588	9052
PSD2	ENSG00000146005	84249
AC022710.1	ENSG00000259356	ENSG00000259356
AC103974.1	ENSG00000254966	ENSG00000254966
RPL7P44	ENSG00000233873	ENSG00000233873
ITGA1	ENSG00000213949	3672
SNORA47	ENSG00000238961	677828
AC025174.1	ENSG00000251168	ENSG00000251168
FGF7P5	ENSG00000204816	ENSG00000204816
ANPEP	ENSG00000166825	290
AC068522.1	ENSG00000242970	ENSG00000242970
AC105129.1	ENSG00000259232	ENSG00000259232
LINC02076	ENSG00000220161	400579
GCSHP2	ENSG00000259525	ENSG00000259525
ENSG00000251912	ENSG00000251912	ENSG00000251912
RPL21P18	ENSG00000213343	ENSG00000213343
XKRX	ENSG00000182489	402415
RPL17P3	ENSG00000271705	ENSG00000271705
MIR3135B	ENSG00000263649	100616218
ENSG00000182404	ENSG00000182404	ENSG00000182404
ENSG00000267950	ENSG00000267950	ENSG00000267950
LCMT1-AS2	ENSG00000260034	100506655
ENSG00000238480	ENSG00000238480	ENSG00000238480
AC018761.3	ENSG00000267212	ENSG00000267212
SCG3	ENSG00000104112	29106
AC012322.1	ENSG00000261028	ENSG00000261028
IGLC3	ENSG00000211679	ENSG00000211679
ENSG00000234536	ENSG00000234536	ENSG00000234536
MIR4742	ENSG00000266618	100616468
ARL4AP4	ENSG00000231395	ENSG00000231395
AF111169.1	ENSG00000241081	ENSG00000241081
AC036222.2	ENSG00000266222	ENSG00000266222
AC009509.1	ENSG00000256377	ENSG00000256377
AC083906.3	ENSG00000250643	ENSG00000250643
AC124283.2	ENSG00000262147	ENSG00000262147
ENSG00000242384	ENSG00000242384	ENSG00000242384
AL138749.1	ENSG00000226798	ENSG00000226798
RNU4-62P	ENSG00000222057	ENSG00000222057
AL450471.1	ENSG00000233484	ENSG00000233484
AGAP1	ENSG00000157985	116987
AC011825.1	ENSG00000214917	ENSG00000214917
TUBA3D	ENSG00000075886	113457
ENSG00000252142	ENSG00000252142	ENSG00000252142
MYL12BP1	ENSG00000260490	ENSG00000260490
SLC2A14	ENSG00000173262	144195
RN7SL107P	ENSG00000243424	ENSG00000243424
PRR15	ENSG00000176532	222171
AMH	ENSG00000104899	268
snoU13	ENSG00000239096	ENSG00000239096
MMP25	ENSG00000008516	64386
PRSS51	ENSG00000253649	ENSG00000253649
NKPD1	ENSG00000179846	284353
ENSG00000211619	ENSG00000211619	ENSG00000211619
GIMAP4	ENSG00000133574	55303
ENSG00000252981	ENSG00000252981	ENSG00000252981
RNA5SP71	ENSG00000199837	ENSG00000199837
RNA5SP201	ENSG00000222248	ENSG00000222248
IGKV2D-40	ENSG00000251039	ENSG00000251039
AC021851.1	ENSG00000272800	ENSG00000272800
RN7SL700P	ENSG00000244521	ENSG00000244521
AC135782.3	ENSG00000261546	ENSG00000261546
AC006111.2	ENSG00000263235	ENSG00000263235
ENSG00000260521	ENSG00000260521	ENSG00000260521
TRMT2B-AS1	ENSG00000225839	ENSG00000225839
E2F8	ENSG00000129173	79733
TEX14	ENSG00000121101	56155
AC092535.4	ENSG00000273179	ENSG00000273179
COX20P1	ENSG00000213025	ENSG00000213025
TRIO	ENSG00000038382	7204
PCDHB10	ENSG00000120324	56126
SCARNA7	ENSG00000238741	677767
GRIK2	ENSG00000164418	2898
C1DP5	ENSG00000254965	ENSG00000254965
ACY3	ENSG00000132744	91703
RN7SL434P	ENSG00000241868	ENSG00000241868
CYTH3	ENSG00000008256	9265
LOC101928627	ENSG00000226484	101928627
LINC00900	ENSG00000246100	ENSG00000246100
ENSG00000235896	ENSG00000235896	ENSG00000235896
FOXD4	ENSG00000170122	2298
CHRNA2	ENSG00000120903	1135
ENSG00000168242	ENSG00000168242	ENSG00000168242
AC244517.1	ENSG00000272108	ENSG00000272108
PHBP2	ENSG00000254512	ENSG00000254512
HEY1	ENSG00000164683	23462
AL157713.1	ENSG00000237842	ENSG00000237842
ADGRL3-AS1	ENSG00000248692	ENSG00000248692
LINC01888	ENSG00000237576	ENSG00000237576
TEX29	ENSG00000153495	121793
ENSG00000248828	ENSG00000248828	ENSG00000248828
AC022239.2	ENSG00000255354	ENSG00000255354
POU2F3	ENSG00000137709	25833
FOXD4L1	ENSG00000184492	200350
AL450124.1	ENSG00000204556	ENSG00000204556
WNK4	ENSG00000126562	65266
AL450344.2	ENSG00000226599	ENSG00000226599
LINC02088	ENSG00000227685	ENSG00000227685
RN7SL827P	ENSG00000271986	ENSG00000271986
CYP2C8	ENSG00000138115	1558
RPS27AP17	ENSG00000237490	ENSG00000237490
RNU2-59P	ENSG00000222414	ENSG00000222414
AP001767.3	ENSG00000255503	ENSG00000255503
HOMER3-AS1	ENSG00000269019	102724360
SIRPG-AS1	ENSG00000237914	101929010
ZNF582	ENSG00000018869	147948
CARMIL3	ENSG00000186648	90668
AC093607.1	ENSG00000250137	ENSG00000250137
PPIAP33	ENSG00000178654	ENSG00000178654
AC023194.1	ENSG00000227753	ENSG00000227753
RPL31P12	ENSG00000227207	ENSG00000227207
YPEL5P2	ENSG00000271557	ENSG00000271557
ACADL	ENSG00000115361	33
AP005131.2	ENSG00000267366	ENSG00000267366
NDUFC2-KCTD14	ENSG00000259112	100532726
TCF3P1	ENSG00000236567	ENSG00000236567
AL592114.1	ENSG00000219133	ENSG00000219133
RPL26P35	ENSG00000244229	ENSG00000244229
KRT8P39	ENSG00000233560	ENSG00000233560
ENSG00000263929	ENSG00000263929	ENSG00000263929
AC112693.1	ENSG00000258888	ENSG00000258888
AC009803.3	ENSG00000258280	ENSG00000258280
AC007899.1	ENSG00000224891	ENSG00000224891
RPL7P8	ENSG00000235045	ENSG00000235045
AC006059.1	ENSG00000230084	ENSG00000230084
LOC100507547	ENSG00000204314	100507547
PRRT1	ENSG00000204314	80863
SALL2	ENSG00000165821	6297
ENSG00000222406	ENSG00000222406	ENSG00000222406
RNA5SP311	ENSG00000238405	ENSG00000238405
RBM11	ENSG00000185272	54033
RPL7P61	ENSG00000230282	ENSG00000230282
AC012464.3	ENSG00000271382	ENSG00000271382
LINC01910	ENSG00000266278	101060542
AC108063.1	ENSG00000249234	ENSG00000249234
SNX18P2	ENSG00000232843	ENSG00000232843
ENSG00000264584	ENSG00000264584	ENSG00000264584
ENSG00000263656	ENSG00000263656	ENSG00000263656
IGHV3-33	ENSG00000211955	ENSG00000211955
AC093525.5	ENSG00000261288	ENSG00000261288
LINC02099	ENSG00000253490	101929450
PHACTR2	ENSG00000112419	9749
LCN15	ENSG00000177984	389812
ZNF853	ENSG00000236609	54753
RNY1P13	ENSG00000201900	ENSG00000201900
LINC-ROR	ENSG00000258609	100885779
LOC101928100	ENSG00000245648	101928100
CTD-2270F17.1	ENSG00000253647	101928033
MIR4639	ENSG00000263712	100616269
AL078644.1	ENSG00000273004	ENSG00000273004
KALRN	ENSG00000160145	8997
ASNSP1	ENSG00000248498	389652
AC055811.1	ENSG00000263624	ENSG00000263624
NMUR2	ENSG00000132911	56923
AL009174.1	ENSG00000227008	ENSG00000227008
UBAC2-AS1	ENSG00000228889	100289373
AL031055.1	ENSG00000271784	ENSG00000271784
AL591379.1	ENSG00000182021	ENSG00000182021
AL359092.1	ENSG00000224797	ENSG00000224797
RN7SL798P	ENSG00000240905	ENSG00000240905
ENSG00000239028	ENSG00000239028	ENSG00000239028
SCARNA18	ENSG00000252139	ENSG00000252139
ADRA1A	ENSG00000120907	148
CDCA4P1	ENSG00000229029	ENSG00000229029
HSD17B14	ENSG00000087076	51171
RPL7P10	ENSG00000229752	ENSG00000229752
ENSG00000223759	ENSG00000223759	ENSG00000223759
LINC01220	ENSG00000259687	ENSG00000259687
RNU1-143P	ENSG00000252105	ENSG00000252105
TRGV5P	ENSG00000228668	ENSG00000228668
LINC01946	ENSG00000223647	105374449
FCER2	ENSG00000104921	2208
ENSG00000242712	ENSG00000242712	ENSG00000242712
IMPDH1P6	ENSG00000254294	ENSG00000254294
C10orf67	ENSG00000179133	256815
AC021242.2	ENSG00000254237	ENSG00000254237
ENSG00000251944	ENSG00000251944	ENSG00000251944
SOD1P3	ENSG00000253651	ENSG00000253651
RNA5SP75	ENSG00000252650	ENSG00000252650
FSCN1	ENSG00000075618	6624
PCDHGB6	ENSG00000253305	56100
AL358178.1	ENSG00000216813	ENSG00000216813
AC090192.2	ENSG00000253227	ENSG00000253227
ENSG00000252925	ENSG00000252925	ENSG00000252925
ENSG00000215719	ENSG00000215719	ENSG00000215719
AC138466.2	ENSG00000256804	ENSG00000256804
NRG3	ENSG00000185737	10718
NETO2	ENSG00000171208	81831
TCEA3	ENSG00000204219	6920
MGAT3-AS1	ENSG00000227188	104502417
BX470102.1	ENSG00000238279	ENSG00000238279
MUC16	ENSG00000181143	94025
IGLV1-62	ENSG00000253823	ENSG00000253823
RBFOX3	ENSG00000167281	146713
ZNF608	ENSG00000168916	57507
AL121832.1	ENSG00000233017	ENSG00000233017
AC087276.3	ENSG00000255340	ENSG00000255340
AC104333.3	ENSG00000236905	ENSG00000236905
RPL7AP33	ENSG00000254200	ENSG00000254200
RN7SL330P	ENSG00000244391	ENSG00000244391
ENSG00000251927	ENSG00000251927	ENSG00000251927
ENSG00000264366	ENSG00000264366	ENSG00000264366
AC091078.1	ENSG00000257060	ENSG00000257060
PTHLH	ENSG00000087494	5744
GJD4	ENSG00000177291	219770
LINC02505	ENSG00000248215	105374400
AC007277.1	ENSG00000213981	ENSG00000213981
AC006445.2	ENSG00000249148	ENSG00000249148
RD3	ENSG00000198570	343035
AL591473.1	ENSG00000237107	ENSG00000237107
AL357078.3	ENSG00000272506	ENSG00000272506
PAQR8	ENSG00000170915	85315
AC027228.1	ENSG00000259474	ENSG00000259474
CR769776.2	ENSG00000229156	ENSG00000229156
LINC01926	ENSG00000267593	105372147
AC068279.1	ENSG00000224881	ENSG00000224881
LOC401585	ENSG00000231566	401585
ENSG00000248166	ENSG00000248166	ENSG00000248166
AC103810.8	ENSG00000272220	ENSG00000272220
SNORA22	ENSG00000206634	677807
KIAA1324L	ENSG00000164659	222223
IGHV3-25	ENSG00000253441	ENSG00000253441
C11orf94	ENSG00000234776	143678
ENSG00000239192	ENSG00000239192	ENSG00000239192
LINC01597	ENSG00000205611	ENSG00000205611
ZNF256	ENSG00000152454	10172
CLUL1	ENSG00000079101	27098
PLN	ENSG00000198523	5350
CSPG5	ENSG00000114646	10675
ENSG00000196963	ENSG00000196963	ENSG00000196963
ENSG00000205506	ENSG00000205506	ENSG00000205506
ENSG00000270109	ENSG00000270109	ENSG00000270109
RNU1-106P	ENSG00000207110	ENSG00000207110
AC007000.2	ENSG00000225726	ENSG00000225726
DYNAP	ENSG00000178690	284254
DDN	ENSG00000181418	23109
AC010655.3	ENSG00000272601	ENSG00000272601
LINC01063	ENSG00000232065	101929769
SLC7A11	ENSG00000151012	23657
LINC01044	ENSG00000223626	104266956
LINC01427	ENSG00000225321	101929663
CDRT15P1	ENSG00000141028	ENSG00000141028
IGKV2-29	ENSG00000253998	ENSG00000253998
RAB34	ENSG00000109113	83871
AL355987.2	ENSG00000272679	ENSG00000272679
RN7SL60P	ENSG00000243366	ENSG00000243366
Y_RNA	ENSG00000252450	ENSG00000252450
ARHGEF34P	ENSG00000204959	ENSG00000204959
AC004383.1	ENSG00000226107	ENSG00000226107
RNU6-516P	ENSG00000223313	ENSG00000223313
PTN	ENSG00000105894	5764
RNU6-48P	ENSG00000206888	ENSG00000206888
ASB9P1	ENSG00000258527	ENSG00000258527
AC067930.4	ENSG00000254859	ENSG00000254859
ENSG00000259894	ENSG00000259894	ENSG00000259894
NPM1P42	ENSG00000259259	ENSG00000259259
GPR82	ENSG00000171657	27197
LHFPL1	ENSG00000182508	340596
LINC01936	ENSG00000235997	ENSG00000235997
ENSG00000230582	ENSG00000230582	ENSG00000230582
LOC100240734	ENSG00000249388	100240734
AC091849.2	ENSG00000251532	ENSG00000251532
ANKRD30BP2	ENSG00000224309	ENSG00000224309
AC073934.1	ENSG00000240790	ENSG00000240790
ENSG00000266440	ENSG00000266440	ENSG00000266440
LOC102724050	ENSG00000258137	102724050
AC139700.1	ENSG00000271034	ENSG00000271034
KLHL14	ENSG00000197705	57565
AC079866.2	ENSG00000256571	ENSG00000256571
ENSG00000257026	ENSG00000257026	ENSG00000257026
AC129926.1	ENSG00000265246	ENSG00000265246
IL7	ENSG00000104432	3574
AC073264.1	ENSG00000229977	ENSG00000229977
IGHV1-67	ENSG00000253274	ENSG00000253274
AC011753.4	ENSG00000237916	ENSG00000237916
AC096734.2	ENSG00000260519	ENSG00000260519
SETP4	ENSG00000237211	ENSG00000237211
CACNA1C-AS1	ENSG00000246627	100652846
ENSG00000270005	ENSG00000270005	ENSG00000270005
SNORA23	ENSG00000201998	677808
LINC01909	ENSG00000266258	101927481
FGF7P8	ENSG00000219693	ENSG00000219693
LAG3	ENSG00000089692	3902
RBAK-RBAKDN	ENSG00000272968	100533952
IGLVI-56	ENSG00000253126	ENSG00000253126
SULT2B1	ENSG00000088002	6820
AC012157.1	ENSG00000258034	ENSG00000258034
AC091887.1	ENSG00000251556	ENSG00000251556
PIK3IP1-AS1	ENSG00000228839	101929760
RND2	ENSG00000108830	8153
AC131235.4	ENSG00000273181	ENSG00000273181
ART3	ENSG00000156219	419
ENSG00000238421	ENSG00000238421	ENSG00000238421
AL136984.1	ENSG00000272033	ENSG00000272033
AC025030.1	ENSG00000257864	ENSG00000257864
ZNF497	ENSG00000174586	162968
AC139099.1	ENSG00000262094	ENSG00000262094
SLC34A2	ENSG00000157765	10568
LINC02436	ENSG00000250754	101928877
ENSG00000205217	ENSG00000205217	ENSG00000205217
ENSG00000253705	ENSG00000253705	ENSG00000253705
RN7SL200P	ENSG00000265123	ENSG00000265123
CLEC12A-AS1	ENSG00000231560	400002
AC126120.1	ENSG00000213587	ENSG00000213587
ERRFI1	ENSG00000116285	54206
ENSG00000272846	ENSG00000272846	ENSG00000272846
HNRNPA1P26	ENSG00000239345	ENSG00000239345
RNY4P10	ENSG00000202441	ENSG00000202441
MIA	ENSG00000261857	8190
RN7SL379P	ENSG00000242998	ENSG00000242998
NIPAL4	ENSG00000172548	348938
LINC00449	ENSG00000203441	106478991
AP001010.1	ENSG00000266954	ENSG00000266954
AC008662.1	ENSG00000253331	ENSG00000253331
PPIAP85	ENSG00000254103	ENSG00000254103
LINC02185	ENSG00000262097	101927311
AL357552.2	ENSG00000228423	ENSG00000228423
TXNP4	ENSG00000262519	ENSG00000262519
EEF1GP7	ENSG00000236290	ENSG00000236290
ENSG00000264624	ENSG00000264624	ENSG00000264624
RPL31P61	ENSG00000243297	ENSG00000243297
RN7SL228P	ENSG00000244033	ENSG00000244033
AL031985.2	ENSG00000227311	ENSG00000227311
RLN2	ENSG00000107014	6019
ENSG00000241774	ENSG00000241774	ENSG00000241774
TGM4	ENSG00000163810	7047
RBM20	ENSG00000203867	282996
AC138696.1	ENSG00000264668	ENSG00000264668
LOC103171574	ENSG00000259774	103171574
RN7SL416P	ENSG00000242101	ENSG00000242101
AP003696.1	ENSG00000253385	ENSG00000253385
SCARNA8	ENSG00000251733	677776
ENSG00000252306	ENSG00000252306	ENSG00000252306
ENSG00000238469	ENSG00000238469	ENSG00000238469
MIR4754	ENSG00000266640	100616168
RPS23P7	ENSG00000239527	ENSG00000239527
AC006272.2	ENSG00000269483	ENSG00000269483
C18orf54	ENSG00000166845	162681
RPL5P29	ENSG00000242208	ENSG00000242208
MIR4257	ENSG00000264553	100422997
ENSG00000268800	ENSG00000268800	ENSG00000268800
AC100793.3	ENSG00000267765	ENSG00000267765
EEF1DP2	ENSG00000226721	ENSG00000226721
HTR1D	ENSG00000179546	3352
RPS3P2	ENSG00000231307	ENSG00000231307
AL353807.2	ENSG00000232519	ENSG00000232519
AC004471.2	ENSG00000272682	ENSG00000272682
SNORD116-30	ENSG00000252277	100873856
AC015660.3	ENSG00000259760	ENSG00000259760
Z98742.3	ENSG00000238055	ENSG00000238055
PHOSPHO2-KLHL23	ENSG00000213160	100526832
KLHL23	ENSG00000213160	151230
AC016722.3	ENSG00000260977	ENSG00000260977
ZNF204P	ENSG00000204789	ENSG00000204789
AP003170.1	ENSG00000255710	ENSG00000255710
P2RY2	ENSG00000175591	5029
WNT5A	ENSG00000114251	7474
ISL2	ENSG00000159556	64843
AC007684.1	ENSG00000273035	ENSG00000273035
MTUS2-AS1	ENSG00000179141	ENSG00000179141
AC104836.2	ENSG00000273487	ENSG00000273487
AC016629.2	ENSG00000269032	ENSG00000269032
AC068992.1	ENSG00000253496	ENSG00000253496
AC026464.4	ENSG00000260914	ENSG00000260914
TSPAN7	ENSG00000156298	7102
LGALS17A	ENSG00000226025	400696
AC093725.2	ENSG00000250333	ENSG00000250333
AC004540.1	ENSG00000214870	ENSG00000214870
TMEM74B	ENSG00000125895	55321
UBE2V2P3	ENSG00000238199	ENSG00000238199
ARF4P1	ENSG00000271525	ENSG00000271525
AC087292.1	ENSG00000263165	ENSG00000263165
AC109439.2	ENSG00000250284	ENSG00000250284
AP002373.1	ENSG00000255663	ENSG00000255663
C1QL3	ENSG00000165985	389941
PCDHGA10	ENSG00000253846	56106
ENSG00000184682	ENSG00000184682	ENSG00000184682
NTAN1P2	ENSG00000250569	ENSG00000250569
EGR3	ENSG00000179388	1960
LINC00565	ENSG00000260910	100861555
C11orf21	ENSG00000110665	29125
RNU1-122P	ENSG00000202408	ENSG00000202408
AC015909.1	ENSG00000249406	ENSG00000249406
RN7SL251P	ENSG00000244399	ENSG00000244399
AL138787.2	ENSG00000271554	ENSG00000271554
AC107294.1	ENSG00000272922	ENSG00000272922
MIR4516	ENSG00000265867	100616258
CA15P1	ENSG00000241527	ENSG00000241527
ENSG00000264209	ENSG00000264209	ENSG00000264209
AL354794.2	ENSG00000236998	ENSG00000236998
AC090844.1	ENSG00000226117	ENSG00000226117
AL583722.3	ENSG00000258736	ENSG00000258736
RN7SL229P	ENSG00000242811	ENSG00000242811
AL078612.1	ENSG00000255252	ENSG00000255252
ENSG00000266701	ENSG00000266701	ENSG00000266701
AC006058.1	ENSG00000261786	ENSG00000261786
PDE11A	ENSG00000128655	50940
ENSG00000252838	ENSG00000252838	ENSG00000252838
ABCC4	ENSG00000125257	10257
ABLIM1	ENSG00000099204	3983
NANOG	ENSG00000111704	79923
EMILIN2	ENSG00000132205	84034
GP2	ENSG00000169347	2813
MORF4L1P3	ENSG00000255040	ENSG00000255040
VEPH1	ENSG00000197415	79674
AC024145.1	ENSG00000255968	ENSG00000255968
AC007637.1	ENSG00000256139	ENSG00000256139
ENSG00000238827	ENSG00000238827	ENSG00000238827
AC096719.1	ENSG00000250039	ENSG00000250039
AL445189.2	ENSG00000228834	ENSG00000228834
RN7SL213P	ENSG00000239820	ENSG00000239820
ENSG00000267267	ENSG00000267267	ENSG00000267267
CYP2F1	ENSG00000197446	1572
KCNH2	ENSG00000055118	3757
UCA1	ENSG00000214049	652995
AL157884.2	ENSG00000231193	ENSG00000231193
APBA2	ENSG00000034053	321
ENSG00000225015	ENSG00000225015	ENSG00000225015
RPS24P16	ENSG00000242634	ENSG00000242634
RN7SL34P	ENSG00000239868	ENSG00000239868
AC089998.1	ENSG00000257431	ENSG00000257431
BVES	ENSG00000112276	11149
RN7SL761P	ENSG00000243671	ENSG00000243671
C8orf46	ENSG00000169085	254778
CHRM3-AS2	ENSG00000233355	100506915
AL078587.1	ENSG00000231081	ENSG00000231081
AL512361.1	ENSG00000258401	ENSG00000258401
AC073052.1	ENSG00000228446	ENSG00000228446
TRGV5	ENSG00000211697	ENSG00000211697
AL355075.1	ENSG00000254846	ENSG00000254846
AC117490.2	ENSG00000273013	ENSG00000273013
DDX60	ENSG00000137628	55601
FRG1-DT	ENSG00000245685	ENSG00000245685
GRIK1-AS1	ENSG00000174680	ENSG00000174680
ENSG00000259243	ENSG00000259243	ENSG00000259243
LINC02176	ENSG00000260340	ENSG00000260340
CCSER1	ENSG00000184305	401145
AC009084.1	ENSG00000265408	ENSG00000265408
AC091564.5	ENSG00000255390	ENSG00000255390
GAS2L1	ENSG00000185340	10634
CEL	ENSG00000170835	1056
ENSG00000270466	ENSG00000270466	ENSG00000270466
Z97832.2	ENSG00000272374	ENSG00000272374
AC092354.2	ENSG00000272370	ENSG00000272370
PIEZO2	ENSG00000154864	63895
RPS3AP50	ENSG00000243864	ENSG00000243864
RPL32P1	ENSG00000224796	ENSG00000224796
ENSG00000215298	ENSG00000215298	ENSG00000215298
AC093582.1	ENSG00000236529	ENSG00000236529
AC145285.6	ENSG00000270424	ENSG00000270424
AC110275.1	ENSG00000254673	ENSG00000254673
ENSG00000239055	ENSG00000239055	ENSG00000239055
AC087362.2	ENSG00000255487	ENSG00000255487
MAGEC1	ENSG00000155495	9947
AP000459.1	ENSG00000227716	ENSG00000227716
RPL7P11	ENSG00000234619	ENSG00000234619
FSIP1	ENSG00000150667	161835
LOC107987545	ENSG00000243896	107987545
OR2A7	ENSG00000243896	401427
MYL6P1	ENSG00000226543	ENSG00000226543
U62317.5	ENSG00000273272	ENSG00000273272
RN7SL516P	ENSG00000242699	ENSG00000242699
GCSAML	ENSG00000169224	148823
ZIK1	ENSG00000171649	284307
RPL12P21	ENSG00000242683	ENSG00000242683
ENSG00000268040	ENSG00000268040	ENSG00000268040
